Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
267,Pokémon Yellow: Special Pikachu Edition,GB,1999,Role-Playing,Nintendo  ,Game Freak  ,8.7,,5.89,5.04,3.12,0.59,14.64
268,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo  ,Game Freak  ,,,4.78,3.98,3.15,0.82,12.73
269,FIFA 13,All,2012,Sports,EA Sports  ,EA Canada  ,,,,,,,
270,Grand Theft Auto III,All,2001,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
271,Halo 3,X360,2007,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,9.5,7.97,2.81,0.13,1.21,12.13
272,Lego Batman,Series,2008,Action-Adventure,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,,,,,
273,Everybody's Golf,Series,1998,Sports,Sony Interactive Entertainment  ,Camelot Software  ,,,,,,,
274,Final Fantasy VII,All,1997,Role-Playing,Sony Computer Entertainment  ,Square  ,,,,,,,
275,Street Fighter II,All,1991,Fighting,Capcom  ,Capcom  ,,,,,,,
276,Mafia,Series,2002,Action-Adventure,2K Games  ,Illusion Softworks  ,,,,,,,
277,NBA 2K20,All,2019,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
278,Star Wars Battlefront (2015),All,2015,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,
279,Yo-kai Watch,Series,2015,Role-Playing,Nintendo  ,Level 5  ,,,,,,,
280,Portal,All,2007,Puzzle,Valve  ,Valve  ,,,,,,,
281,Red Dead Redemption 2,PS4,2018,Action-Adventure,Rockstar Games  ,Rockstar Games  ,9.8,,5.26,6.21,0.21,2.26,13.94
282,Call of Duty: Black Ops II,X360,2012,Shooter,Activision  ,Treyarch  ,,,8.27,4.32,0.07,1.2,13.86
283,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision  ,Treyarch  ,,,4.99,5.88,0.65,2.28,13.8
284,Resident Evil 5,All,2009,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
285,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision  ,Infinity Ward  ,9.5,9.0,8.54,3.63,0.08,1.28,13.53
286,Guild Wars,Series,2005,MMO,NCSoft  ,ArenaNet  ,,,,,,,
287,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo  ,Nintendo  ,7.5,,3.95,4.07,2.59,0.72,11.33
288,Call of Duty: WWII,PS4,2017,Shooter,Activision  ,Sledgehammer Games  ,8.0,,4.67,6.21,0.4,2.12,13.4
289,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision  ,Infinity Ward  ,8.8,,5.54,5.78,0.49,1.54,13.35
290,Paper Mario,Series,2001,Role-Playing,Nintendo  ,Intelligent Systems  ,,,,,,,
291,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo  ,Project Sora  ,9.2,9.7,6.64,2.57,2.67,1.03,12.91
292,Splatoon 2,NS,2017,Shooter,Nintendo  ,Nintendo EPD  ,8.2,,1.9,1.8,3.01,0.34,7.04
293,Rock Band,Series,2007,Music,MTV Games  ,Harmonix  ,,,,,,,
294,Grand Theft Auto III,PS2,2001,Action,Rockstar Games  ,DMA Design  ,9.5,,6.99,4.51,0.3,1.3,13.1
295,Portal 2,PC,2011,Shooter,Valve  ,Valve Software  ,9.7,,0.33,0.33,,0.1,0.75
296,Animal Crossing: New Leaf,3DS,2013,Simulation,Nintendo  ,Nintendo EAD  ,8.6,,2.46,3.06,4.9,0.48,10.9
297,ARMA,Series,2007,Shooter,505 Games  ,Bohemia Interactive  ,,,,,,,
298,Minecraft,X360,2013,Misc,Microsoft Studios  ,Mojang  ,,,5.96,2.94,0.02,0.9,9.82
299,Monster Hunter Rise,All,2021,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
300,Scribblenauts,Series,2009,Puzzle,Warner Bros. Interactive Entertainment  ,5th Cell  ,,,,,,,
301,Stardew Valley,PC,2016,Simulation,Chucklefish  ,ConcernedApe  ,9.2,,,,,,
302,Super Mario 3D Land,3DS,2011,Platform,Nintendo  ,Nintendo EAD Tokyo  ,8.9,,5.1,3.46,2.15,0.85,11.56
303,Luigi's Mansion 3,NS,2019,Action-Adventure,Nintendo  ,"Next Level Games, Inc.  ",,,,,,,
304,Super Mario Galaxy,Wii,2007,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.6,6.06,3.38,1.2,0.76,11.4
305,Pokémon Heart Gold / Soul Silver Version,DS,2010,Role-Playing,Nintendo  ,Game Freak  ,8.6,,4.34,2.72,3.96,0.76,11.78
306,Call of Duty: Black Ops,PS3,2010,Shooter,Activision  ,Treyarch  ,8.7,,6.01,4.4,0.48,1.78,12.67
307,Grand Theft Auto V,PC,2015,Action,Rockstar Games  ,Rockstar North  ,,,0.48,0.76,,0.1,1.33
308,Resident Evil 4,All,2005,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
309,Fable,Series,2004,Role-Playing,Microsoft Game Studios  ,Big Blue Box  ,,,,,,,
310,Batman: Arkham City,All,2011,Action-Adventure,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,,,,,,,
311,Myst,Series,1993,Adventure,Broderbund  ,"Cyan, Inc.  ",,,,,,,
312,Rust,All,2018,Action-Adventure,Facepunch Studios  ,Facepunch Studios  ,,,,,,,
313,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,1.48,2.82,0.28,0.81,5.39
314,Mario Golf,Series,1991,Sports,Nintendo  ,Nintendo  ,,,,,,,
315,Mario & Luigi,Series,2003,Role-Playing,Nintendo  ,AlphaDream  ,,,,,,,
316,Wario,Series,1994,Platform,Nintendo  ,Nintendo  ,,,,,,,
317,7 Days to Die,All,2013,Role-Playing,The Fun Pimps   ,The Fun Pimps  ,,,,,,,
318,Assassin's Creed III,All,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
319,Assetto Corsa,All,2014,Racing,Kunos Simulazioni  ,Kunos Simulazioni  ,,,,,,,
320,Bomberman,Series,1987,Puzzle,Konami  ,Hudson Soft  ,,,,,,,
321,Cities: Skylines,All,2015,Simulation,Paradox Interactive   ,Colossal Order  ,,,,,,,
322,Cooking Mama,Series,2006,Simulation,Majesco Entertainment  ,Cooking Mama Limited  ,,,,,,,
323,Diablo III,PC,2012,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,9.0,,2.5,2.23,,0.53,5.26
324,Half-Life 2,PC,2004,Shooter,VU Games  ,Valve Software  ,9.7,,2.28,0.02,0.08,,2.37
325,Jak and Daxter,Series,2001,Action-Adventure,Sony Interactive Entertainment  ,Naughty Dog  ,,,,,,,
326,Left 4 Dead,Series,2008,Shooter,Valve  ,Valve  ,,,,,,,
327,Little Nightmares,Series,2017,Platform,Bandai Namco Entertainment  ,Tarsier Studios  ,,,,,,,
328,NBA 2K19,All,2018,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
329,Pokémon FireRed / LeafGreen Version,GBA,2004,Role-Playing,Nintendo  ,Game Freak  ,8.3,,4.34,2.65,3.15,0.35,10.49
330,Resident Evil 7,All,2017,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
331,SOCOM,Series,2002,Shooter,Sony Interactive Entertainment  ,Zipper Interactive  ,,,,,,,
332,World of Warcraft,PC,2004,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.2,8.0,0.12,6.24,,,6.35
333,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,8.3,,2.96,4.87,0.81,2.1,10.75
334,Super Mario 64,N64,1996,Platform,Nintendo  ,Nintendo EAD  ,9.7,9.2,6.91,2.85,1.91,0.23,11.89
335,Resident Evil 2 (2019),All,2019,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
336,FIFA 18,PS4,2017,Sports,EA Sports  ,EA Vancouver  ,8.3,,1.27,8.64,0.15,1.73,11.8
337,The Last of Us Remastered,PS4,2014,Action-Adventure,Sony Computer Entertainment  ,Naughty Dog  ,9.5,,2.7,2.86,0.11,1.1,6.77
338,Gran Turismo 4,PS2,2005,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,8.7,,3.01,0.01,1.1,7.53,11.66
339,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo  ,Nintendo EAD  ,8.5,,2.5,3.46,5.33,0.86,12.14
340,The Room,Series,2012,Puzzle,Fireproof Games  ,Fireproof Games  ,,,,,,,
341,Max Payne,Series,2001,Shooter,Rockstar Games  ,Remedy Entertainment  ,,,,,,,
342,Super Mario 3D World + Bowser's Fury,NS,2021,Platform,Nintendo  ,Nintendo  ,,,,,,,
343,Taiko no Tatsujin,Series,2004,Music,Namco  ,Bandai Namco Studios  ,,,,,,,
344,Dragon Age,Series,2009,Role-Playing,Electronic Arts  ,BioWare  ,,,,,,,
345,Super Mario Land 2: 6 Golden Coins,GB,1992,Platform,Nintendo  ,Nintendo R&D1  ,9.0,,6.16,2.04,2.69,0.29,11.18
346,Wii Party,Series,2010,Party,Nintendo  ,NDcube  ,,,,,,,
347,Grand Theft Auto IV,X360,2008,Action,Rockstar Games  ,Rockstar North  ,10.0,,6.8,3.11,0.14,1.04,11.09
348,Big Brain Academy,Series,2006,Puzzle,Nintendo  ,Nintendo  ,,,,,,,
349,Super Mario 64 DS,DS,2004,Platform,Nintendo  ,Nintendo EAD  ,8.6,,0.01,0.0,1.25,,1.26
350,Super Mario 64 DS,DS,2004,Platform,Nintendo  ,Nintendo EAD  ,,,5.01,3.08,1.25,0.97,10.32
351,BioShock Infinite,All,2013,Shooter,2K Games  ,Irrational Games  ,,,,,,,
352,Civilization VI,All,2016,Strategy,2K Games  ,Firaxis Games  ,,,,,,,
353,Dance Dance Revolution,Series,1998,Music,Konami  ,Konami  ,,,,,,,
354,Fall Guys: Ultimate Knockout,PC,2020,Party,Devolver Digital  ,Mediatonic  ,,,,,,,
355,God of War: Ragnarök,All,2022,Action,Sony Interactive Entertainment  ,Sony Computer Entertainment  ,,,,,,,
356,Lego Batman: The Videogame,All,2008,Action-Adventure,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,,,,,
357,Mortal Kombat X,All,2015,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,,,,,
358,NBA 2K21,All,2020,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
359,Need for Speed: Underground 2,All,2004,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,
360,Sniper: Ghost Warrior,Series,2008,Shooter,City Interactive  ,CI Games  ,,,,,,,
361,StarCraft,PC,1998,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,8.7,,0.0,0.04,,0.01,0.05
362,Tomb Raider (2013),All,2013,Action-Adventure,Square Enix  ,Crystal Dynamics  ,,,,,,,
363,FIFA 17,PS4,2016,Sports,Electronic Arts  ,EA Canada  ,8.9,,1.26,7.95,0.12,1.61,10.94
364,Resident Evil 6,All,2012,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
365,Need for Speed: ProStreet,All,2007,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,
366,Gran Turismo,PS,1998,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.5,,4.02,3.87,2.54,0.52,10.95
367,Splatoon 3,NS,2022,Shooter,Nintendo  ,Nintendo  ,,,,,,,
368,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision  ,Infinity Ward  ,9.5,,4.99,3.66,0.38,1.59,10.61
369,Grand Theft Auto IV,PS3,2008,Action,Rockstar Games  ,Rockstar North  ,10.0,9.0,4.79,3.73,0.44,1.62,10.57
370,Super Mario All-Stars,SNES,1993,Platform,Nintendo  ,Nintendo EAD  ,,9.5,5.99,2.15,2.12,0.29,10.55
371,Rocket League,Series,2015,Sports,Psyonix  ,Psyonix  ,,,,,,,
372,Rocket League,All,2015,Sports,Psyonix  ,Psyonix  ,,,,,,,
373,Tomodachi,Series,2014,Simulation,Nintendo  ,Nintendo  ,,,,,,,
374,Call of Duty: Ghosts,X360,2013,Shooter,Activision  ,Infinity Ward  ,6.9,,6.76,2.64,0.04,0.98,10.41
375,Star Fox,Series,1993,Shooter,Nintendo  ,Nintendo  ,,,,,,,
376,Monster Hunter World: Iceborne,All,2019,Role-Playing,Capcom  ,Capcom  ,,,,,,,
377,Nobunaga's Ambition,Series,1983,Strategy,KOEI  ,Koei  ,,,,,,,
378,Mario Party Superstars,NS,2021,Party,Nintendo  ,Nintendo  ,,,,,,,
379,Call of Duty: Ghosts,PS3,2013,Shooter,Activision  ,Infinity Ward  ,7.5,,4.11,4.01,0.39,1.62,10.13
380,SaGa,Series,1990,Role-Playing,Square Enix  ,Square  ,,,,,,,
381,Ace Attorney,Series,2005,Adventure,Capcom  ,Capcom  ,,,,,,,
382,Assassin's Creed Odyssey,All,2018,Action-Adventure,Ubisoft  ,Ubisoft Quebec  ,,,,,,,
383,Assassin's Creed Origins,All,2017,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
384,Assassin's Creed Unity,All,2014,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
385,Broken Sword,Series,1996,Adventure,Virgin Interactive  ,Revolution Software  ,,,,,,,
386,Buzz!,Series,2005,Party,Sony Interactive Entertainment  ,Relentless Software  ,,,,,,,
387,Crash Bandicoot N. Sane Trilogy,All,2017,Platform,Activision  ,Vicarious Visions  ,,,,,,,
388,Dark Souls III,All,2016,Role-Playing,Bandai Namco Entertainment  ,From Software  ,,,,,,,
389,Dead Cells,All,2018,Action,Motion Twin  ,Motion Twin  ,,,,,,,
390,Dragon Ball FighterZ,All,2018,Fighting,Bandai Namco Entertainment  ,Arc System Works  ,,,,,,,
391,Dragon Ball Xenoverse 2,All,2016,Role-Playing,Bandai Namco Entertainment  ,Dimps Corporation  ,,,,,,,
392,Far Cry 3,All,2012,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
393,Far Cry 4,All,2014,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
394,Far Cry 5,All,2018,Shooter,Ubisoft  ,Ubisoft  ,,,,,,,
395,FIFA 10,All,2009,Sports,EA Sports  ,EA Canada  ,,,,,,,
396,FIFA 12,All,2011,Sports,EA Sports  ,EA Canada  ,,,,,,,
397,Final Fantasy XV,All,2016,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,
398,Horizon: Zero Dawn,PS4,2017,Action-Adventure,Sony Interactive Entertainment  ,Guerrilla Games  ,9.1,8.0,2.2,2.43,0.28,0.92,5.82
399,It Takes Two,All,2021,Action-Adventure,Electronic Arts  ,Hazelight  ,,,,,,,
400,Just Dance 2,Wii,2010,Misc,Ubisoft  ,Ubisoft Paris  ,7.3,,5.8,2.86,0.01,0.77,9.45
401,Just Dance 3,Wii,2011,Misc,Ubisoft  ,Ubisoft Paris  ,7.5,,5.95,3.13,,1.06,10.14
402,Killing Floor,Series,2009,Shooter,Tripwire Interactive  ,Tripwire Interactive  ,,,,,,,
403,Marvel vs. Capcom,Series,1996,Fighting,Capcom  ,Capcom  ,,,,,,,
404,MX vs. ATV,Series,2001,Racing,THQ Nordic  ,Rainbow Studios  ,,,,,,,
405,NBA 2K18,All,2017,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
406,NBA 2K22,All,2021,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
407,Pitfall,Series,1982,Platform,Activision  ,Activision  ,,,,,,,
408,RollerCoaster Tycoon 3,PC,2004,Strategy,Atari  ,Frontier Developments  ,8.3,,0.01,0.22,,0.02,0.26
409,Star Wars Jedi: Fallen Order,All,2019,Action-Adventure,Electronic Arts  ,Respawn Entertainment  ,,,,,,,
410,Tekken 7,All,2015,Fighting,Bandai Namco Entertainment  ,Bandai Namco Studios  ,,,,,,,
411,The Last of Us Part II,PS4,2020,Action,Sony Interactive Entertainment  ,Naughty Dog  ,,,,,,,
412,The Legend of Zelda: Tears of the Kingdom,NS,2023,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,
413,The Settlers,Series,1993,Strategy,Blue Byte  ,Blue Byte  ,,,,,,,
414,The Sims 3,All,2009,Simulation,Electronic Arts  ,Maxis  ,,,,,,,
415,Titanfall,All,2014,Shooter,Electronic Arts  ,Respawn Entertainment  ,,,,,,,
416,Tom Clancy's Ghost Recon Wildlands,All,2017,Shooter,Ubisoft  ,Ubisoft Paris  ,,,,,,,
417,Tom Clancy's Rainbow Six Siege,All,2015,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
418,Tom Clancy's The Division,All,2016,Shooter,Ubisoft  ,Massive Entertainment  ,,,,,,,
419,Tom Clancy's The Division 2,All,2019,Shooter,Ubisoft  ,Massive Entertainment  ,,,,,,,
420,Valheim,PC,2021,Action-Adventure,Coffee Stain Publishing  ,Iron Gate AB  ,,,,,,,
421,Watch Dogs,All,2014,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
422,Watch Dogs 2,All,2016,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
423,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios  ,Bungie  ,9.3,,7.08,2.01,0.08,0.8,9.97
424,Portal,PC,2008,Shooter,Valve Corporation  ,Valve Software  ,9.0,,,0.0,,0.0,0.01
425,Halo 4,X360,2012,Shooter,Microsoft Studios  ,343 Industries  ,,,6.72,2.36,0.04,0.83,9.96
426,The Binding of Isaac,Series,2011,Action,Edmund McMillen  ,Edmund McMillen  ,,,,,,,
427,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment  ,SquareSoft  ,9.6,9.5,3.01,2.47,3.28,0.96,9.72
428,Mario Kart 64,N64,1997,Racing,Nintendo  ,Nintendo EAD  ,8.5,,5.55,1.94,2.23,0.15,9.87
429,Ghost of Tsushima,All,2020,Action-Adventure,Sony Interactive Entertainment  ,Sucker Punch  ,,,,,,,
430,Dead or Alive,Series,1998,Fighting,Tecmo  ,Team Ninja  ,,,,,,,
431,NieR,Series,2010,Action-Adventure,Square Enix  ,Cavia  ,,,,,,,
432,Street Fighter IV,All,2009,Fighting,Capcom  ,Capcom / Dimps Corporation  ,,,,,,,
433,Super Smash Bros. for 3DS,3DS,2014,Fighting,Nintendo  ,Bandai Namco Games  ,8.4,,3.73,1.5,2.55,0.54,8.32
434,Final Fantasy VIII,All,1999,Role-Playing,Square  ,Square  ,,,,,,,
435,Nintendo Switch Sports,NS,2022,Sports,Nintendo  ,Nintendo  ,,,,,,,
436,Carnival Games,Series,2007,Party,Global Star Software  ,Cat Daddy Games  ,,,,,,,
437,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision  ,Infinity Ward  ,9.6,9.0,5.98,2.39,0.13,0.91,9.41
438,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.2,,3.88,3.42,1.69,0.5,9.49
439,Wii Party,Wii,2010,Misc,Nintendo  ,"Nd Cube Co., Ltd.  ",7.0,,1.75,3.51,2.49,0.66,8.41
440,Call of Duty: Black Ops IIII,PS4,2018,Shooter,Activision  ,Treyarch  ,,,4.05,3.28,0.5,1.49,9.32
441,Mario Party DS,DS,2007,Misc,Nintendo  ,Hudson Soft  ,7.1,,4.4,1.86,1.98,0.69,8.93
442,Donkey Kong Country,SNES,1994,Platform,Nintendo  ,Rare Ltd.  ,9.0,,4.36,1.71,3.0,0.23,9.3
443,Half-Life,PC,1998,Shooter,Sierra Entertainment  ,Valve Software  ,9.5,,4.03,0.0,0.09,,4.12
444,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.3,6.3,2.77,2.81,0.19,1.06,6.84
445,Pokémon: Ultra Sun and Ultra Moon,3DS,2017,Role-Playing,Nintendo  ,Game Freak  ,8.1,,2.46,1.74,2.55,0.4,7.15
446,FIFA 19,PS4,2018,Sports,Electronic Arts  ,EA Sports  ,,,0.84,6.87,0.1,1.34,9.15
447,Super Mario 3D All-Stars,NS,2020,Platform,Nintendo  ,Nintendo  ,,,,,,,
448,Rust,PC,2018,Action-Adventure,Facepunch Studios  ,Facepunch Studios  ,6.1,,,,,,
449,Assassin's Creed II,All,2009,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
450,Battlefield: Bad Company 2,All,2010,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,
451,Harry Potter and the Chamber of Secrets,All,2002,Action-Adventure,Electronic Arts  ,EA UK  ,,,,,,,
452,Payday,Series,2011,Shooter,Daybreak Games  ,Overkill Software  ,,,,,,,
453,Silent Hill,Series,1999,Action-Adventure,Konami  ,Konami Computer Entertainment Tokyo  ,,,,,,,
454,Star Wars Battlefront II (2017),All,2017,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,
455,The Experience,Series,2010,Music,Ubisoft  ,Ubisoft  ,,,,,,,
456,Ninja Gaiden,Series,1988,Action,Tecmo  ,Tecmo  ,,,,,,,
457,Xeno,Series,1998,Role-Playing,Square  ,Square  ,,,,,,,
458,Monster Hunter Generations,All,2016,Role-Playing,Capcom  ,Capcom  ,,,,,,,
459,Need for Speed: Undercover,All,2008,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,
460,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.3,,5.1,2.83,0.1,0.85,8.88
461,Mario Party 8,Wii,2007,Misc,Nintendo  ,Hudson Soft  ,6.5,,3.74,2.27,1.58,0.7,8.3
462,Megami Tensei,Series,2004,Role-Playing,Atlus  ,Atlus  ,,,,,,,
463,Super Mario Kart,SNES,1992,Racing,Nintendo  ,Nintendo EAD  ,10.0,,3.54,1.24,3.81,0.18,8.76
464,Grand Theft Auto V,XOne,2014,Action,Rockstar Games  ,Rockstar North  ,9.0,9.0,4.7,3.25,0.01,0.76,8.72
465,Naruto Shippuden: Ultimate Ninja Storm 4,All,2016,Fighting,Bandai Namco Entertainment  ,CyberConnect2  ,,,,,,,
466,The Legend of Zelda: Twilight Princess,All,2006,Action-Adventure,Nintendo  ,Nintendo EAD  ,,,,,,,
467,Final Fantasy VIII,PS,1999,Role-Playing,Square EA  ,SquareSoft  ,9.4,,2.28,1.72,3.63,0.23,7.86
468,Final Fantasy X,PS2,2001,Role-Playing,Square  ,SquareSoft  ,9.0,10.0,2.91,2.07,2.73,0.33,8.05
469,Onimusha,Series,2001,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
470,Monument Valley,Series,2014,Puzzle,Ustwo Games  ,Ustwo Games  ,,,,,,,
471,Pokémon Black 2 and White 2,DS,2012,Role-Playing,Nintendo  ,Game Freak  ,8.0,8.3,2.79,1.79,3.16,0.43,8.16
472,Metro Exodus,All,2019,Shooter,Deep Silver  ,4a-games  ,,,,,,,
473,NBA 2K17,All,2016,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
474,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision  ,Infinity Ward  ,,,3.11,3.83,0.19,1.36,8.48
475,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,8.6,,2.91,3.97,0.27,1.34,8.48
476,Mario Kart 8,WiiU,2014,Racing,Nintendo  ,Nintendo  ,8.8,,3.22,2.55,1.39,0.54,7.69
477,Horizon: Forbidden West,All,2022,Action-Adventure,Sony Interactive Entertainment  ,Guerrilla Games  ,,,,,,,
478,Tekken 3,PS,1998,Fighting,Namco  ,Namco  ,9.6,,3.27,2.22,1.4,0.29,7.16
479,Monster Hunter 4,All,2015,Role-Playing,Capcom  ,Capcom  ,,,,,,,
480,FIFA 16,PS4,2015,Sports,EA Sports  ,EA Canada  ,8.5,,1.15,5.77,0.07,1.23,8.22
481,Lego Star Wars II: The Original Trilogy,All,2006,Action-Adventure,LucasArts  ,TT Games  ,,,,,,,
482,The Last of Us,PS3,2013,Action-Adventure,Sony Computer Entertainment America  ,Naughty Dog  ,9.5,,2.41,2.57,0.29,0.99,6.27
483,GoldenEye 007,N64,1997,Shooter,Nintendo  ,Rare Ltd.  ,9.8,,5.8,2.01,0.13,0.15,8.09
484,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts  ,EA DICE  ,7.1,,3.31,3.19,0.23,1.3,8.03
485,FIFA 13,PS3,2012,Sports,EA Sports  ,EA Canada  ,,,1.07,5.13,0.13,1.68,8.01
486,Assassin's Creed,All,2007,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
487,Cars,All,2006,Racing,THQ  ,Rainbow Studios  ,,,,,,,
488,Cuphead,Series,2017,Platform,Studio MDHR  ,Studio MDHR  ,,,,,,,
489,Detroit: Become Human,All,2018,Adventure,Sony Interactive Entertainment  ,Quantic Dream  ,,,,,,,
490,Ghost of Tsushima,PS4,2020,Action-Adventure,Sony Interactive Entertainment  ,Sucker Punch  ,8.8,,,,,,
491,Grand Theft Auto: Liberty City Stories,All,2005,Action-Adventure,Rockstar Games  ,Rockstar Leeds/North  ,,,,,,,
492,Guitar Hero III: Legends of Rock,All,2007,Music,Activision  ,Neversoft  ,,,,,,,
493,Halo 2,XB,2004,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,,6.82,1.53,0.05,0.08,8.49
494,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts  ,Argonaut Games  ,8.0,,1.37,2.0,0.14,0.22,3.73
495,Inazuma Eleven,Series,2008,Role-Playing,Level 5  ,Level 5  ,,,,,,,
496,Kinect Sports,Series,2010,Sports,Microsoft Game Studios  ,Rare  ,,,,,,,
497,Moto Racer,Series,1997,Racing,Electronic Arts  ,SK Software International  ,,,,,,,
498,NBA 2K16,All,2015,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
499,Resident Evil 8: Village,All,2021,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
500,Romance of the Three Kingdoms,Series,1985,Strategy,KOEI  ,Koei  ,,,,,,,
501,Samurai Warriors,Series,2004,Action,KOEI  ,Omega Force  ,,,,,,,
502,Sid Meier's Civilization V,PC,2010,Strategy,2K Games  ,Firaxis Games  ,8.9,,1.0,0.53,,0.17,1.7
503,Unreal,Series,1998,Shooter,GT Interactive  ,Epic Games  ,,,,,,,
504,The Sims 3,PC,2009,Simulation,Electronic Arts  ,EA Redwood Shores  ,8.5,,1.01,6.46,,0.5,7.96
505,Super Mario Maker 2,NS,2019,Platform,Nintendo  ,Nintendo  ,,,,,,,
506,FIFA 09,All,2008,Sports,EA Sports  ,EA Canada  ,,,,,,,
507,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Rockstar Games  ,Rockstar Leeds  ,8.8,,2.9,2.83,0.24,1.74,7.72
508,Final Fantasy XII,All,2006,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,
509,Final Fantasy XIII,All,2010,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,
510,Monster Hunter Rise,NS,2021,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
511,Pac-Man,2600,1982,Puzzle,Atari  ,Atari  ,,,7.28,0.45,,0.08,7.81
512,Cyberpunk 2077,PC,2020,Action-Adventure,CD Projekt Red Studio  ,CD Projekt Red Studio  ,,,,,,,
513,Magicka,Series,2011,Action-Adventure,Paradox Interactive   ,Arrowhead Game Studios  ,,,,,,,
514,God of War III,PS3,2010,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.2,9.4,2.74,1.36,0.12,0.6,4.81
515,Pokémon Platinum Version,DS,2009,Role-Playing,Nintendo  ,Game Freak  ,8.3,8.9,2.76,1.73,2.69,0.54,7.72
